,CART,KNN,LR,NB,RF
MIRANTIS,0.667,0.721,0.727,0.75,0.714
MOZILLA,0.681,0.622,0.7,0.681,0.741
OPENSTACK,0.704,0.737,0.663,0.74,0.728
WIKIMEDIA,0.658,0.706,0.718,0.75,0.667
