,CART,KNN,LR,NB,RF
MIRANTIS,0.628,0.667,0.7,0.714,0.698
MOZILLA,0.689,0.56,0.64,0.614,0.725
OPENSTACK,0.71,0.725,0.7,0.691,0.748
WIKIMEDIA,0.658,0.647,0.716,0.69,0.667
