,CART,KNN,LR,NB,RF
MIRANTIS,0.631,0.625,0.714,0.714,0.714
MOZILLA,0.7,0.52,0.6,0.563,0.708
OPENSTACK,0.713,0.723,0.765,0.648,0.765
WIKIMEDIA,0.667,0.625,0.73,0.647,0.688
